ciudades,nombre_de_la_ciudad,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,fecha_publicacion,nombre_video
0x842aa20005acfb79:0xed2ee29afe18257,San Luis Potosí,0,0.0,,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x842ac1a6259587eb:0xfa67a16b73e15ed0,Villa de Reyes,0,0.0,,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x916dd5d826598431:0x2aa996cc2318315d,Cusco,0,0.0,,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x94dce35351cdb3dd:0x6d2f6ba5bacbe809,Curitiba,0,0.0,,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
0x9662c5410425af2f:0x8475d53c400f0931,Santiago,0,0.0,,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
Total,,951,41.2375,0:02:36,20220215,🔥 Cómo CREAR una INTRO para tu CANAL de YOUTUBE 💗 en un PAR de MINUTOS ▶ TUTORIAL
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,35,1.2979,0:02:13,20220215,🔥 Cómo CREAR una INTRO para tu CANAL de YOUTUBE 💗 en un PAR de MINUTOS ▶ TUTORIAL
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,16,0.4709,0:01:45,20220215,🔥 Cómo CREAR una INTRO para tu CANAL de YOUTUBE 💗 en un PAR de MINUTOS ▶ TUTORIAL
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,13,0.681,0:03:08,20220215,🔥 Cómo CREAR una INTRO para tu CANAL de YOUTUBE 💗 en un PAR de MINUTOS ▶ TUTORIAL
Total,,827,6.4061,0:00:27,20220228,🏃🏼_♂️🚴🏼_♂️ Creación de DISEÑO CREATIVO de LOGOS _ DelcaVideography ▶ Short
Total,,828,17.2807,0:01:15,20211002,😎 Este CONSEJO MEJORARÁ tu EXPERIENCIA con mis TUTORIALES
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,18,0.3511,0:01:10,20211002,😎 Este CONSEJO MEJORARÁ tu EXPERIENCIA con mis TUTORIALES
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,12,0.1892,0:00:56,20211002,😎 Este CONSEJO MEJORARÁ tu EXPERIENCIA con mis TUTORIALES
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,11,0.3882,0:02:07,20211002,😎 Este CONSEJO MEJORARÁ tu EXPERIENCIA con mis TUTORIALES
Total,,2344,95.3512,0:02:26,20210601,Cómo CONVERTIR CLIPS DE VIDEO a GIF ANIMADOS usando Vegas PRO
Total,,711,6.5255,0:00:33,20210726,🦊🏃_♀️ The Fox Design SHORT
Total,,1881,111.3451,0:03:33,20220301,✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,79,3.7016,0:02:48,20220301,✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,27,2.4085,0:05:21,20220301,✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,17,0.6819,0:02:24,20220301,✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
0xbdf2d9707a606cb7:0x4585918d052fa581,Coyhaique,0,0.0,,20220301,✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Total,,918,4.2187,0:00:16,20211215,👌🏼 Te DOY un TRUCO SECRETO 🤯 para HACER INTROS INCREÍBLES y en POCOS PASOS
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,22,0.102,0:00:16,20211215,👌🏼 Te DOY un TRUCO SECRETO 🤯 para HACER INTROS INCREÍBLES y en POCOS PASOS
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,16,0.07,0:00:15,20211215,👌🏼 Te DOY un TRUCO SECRETO 🤯 para HACER INTROS INCREÍBLES y en POCOS PASOS
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,10,0.0406,0:00:14,20211215,👌🏼 Te DOY un TRUCO SECRETO 🤯 para HACER INTROS INCREÍBLES y en POCOS PASOS
Total,,961,36.8612,0:02:18,20211005,👌🏼 EASY Design LOGO Process in CorelDRAW ▶ BEST Tips and Tricks 
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,28,1.0342,0:02:12,20211005,👌🏼 EASY Design LOGO Process in CorelDRAW ▶ BEST Tips and Tricks 
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,24,0.9418,0:02:21,20211005,👌🏼 EASY Design LOGO Process in CorelDRAW ▶ BEST Tips and Tricks 
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,12,0.4456,0:02:13,20211005,👌🏼 EASY Design LOGO Process in CorelDRAW ▶ BEST Tips and Tricks 
0x9142360c24fc64b5:0x6607d4cd6a9ce4ff,Cerro Colorado,0,0.0,,20211005,👌🏼 EASY Design LOGO Process in CorelDRAW ▶ BEST Tips and Tricks 
0x91a7c2bd27e34f59:0xb12f7fa07930c2f,Pillco Marca,0,0.0,,20211005,👌🏼 EASY Design LOGO Process in CorelDRAW ▶ BEST Tips and Tricks 
Total,,1759,81.2212,0:02:46,20211008,🤔🧠 Procesos de DISEÑO INTELIGENTES en CorelDRAW 🖋 Tips & Tricks
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,58,2.5983,0:02:41,20211008,🤔🧠 Procesos de DISEÑO INTELIGENTES en CorelDRAW 🖋 Tips & Tricks
